,Network Measure,Score,Interaction,Gender,Strain,Group,File
28,degree centrality,0.5333333333333334,Head-Tail,Female,FCvsCC,29,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group8D_interaction_30min__cam_2_Tue_06_25_2019_mjpeg_tracks.mat
29,degree centrality,0.5333333333333333,Head-Tail,Female,FCvsCC,30,fixed_Female-FCvsCC_3vs3Females_P60_FCvsCC_Group9E_interaction_30min__cam_2_Thu_06_27_2019_mjpeg_tracks.mat
30,degree centrality,0.5333333333333333,Head-Tail,Male,CCvsCC,31,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group10X_30min_interaction__cam_2_Wed_06_12_2019_mjpeg_tracks.mat
31,degree centrality,0.5333333333333333,Head-Tail,Male,CCvsCC,32,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group11Z_interaction_30min_cam_2_Wed_09_18_2019_mjpeg_tracks.mat
32,degree centrality,0.5333333333333335,Head-Tail,Male,CCvsCC,33,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group12A_interaction_30min_cam_2_Fri_09_20_2019_mjpeg_tracks.mat
33,degree centrality,0.5333333333333333,Head-Tail,Male,CCvsCC,34,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group1_Interaction_30min_cam_2_Tue_01_08_2019_mjpeg_tracks.mat
34,degree centrality,0.5333333333333333,Head-Tail,Male,CCvsCC,35,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group2_Interaction_30min_cam_2_Fri_01_11_2019_mjpeg_tracks.mat
35,degree centrality,0.5333333333333333,Head-Tail,Male,CCvsCC,36,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group3_Interaction_30min_cam_2_Tue_01_15_2019_mjpeg_tracks.mat
36,degree centrality,0.5333333333333333,Head-Tail,Male,CCvsCC,37,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group4J_Interaction_30min_cam_2_Tue_03_05_2019_mjpeg_tracks.mat
37,degree centrality,0.5333333333333333,Head-Tail,Male,CCvsCC,38,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group5M_Interaction_30min_cam_2_Wed_03_27_2019_mjpeg_tracks.mat
38,degree centrality,0.5333333333333334,Head-Tail,Male,CCvsCC,39,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group6N_Interaction_30min_cam_2_Tue_04_16_2019_mjpeg_tracks.mat
39,degree centrality,0.5333333333333332,Head-Tail,Male,CCvsCC,40,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group7Q_Interaction_30min_cam_2_Tue_04_16_2019_mjpeg_tracks.mat
